ID	Platform	Farm	Breed	Depth	Coverage	RawReads	CleanReads
SHD_29503	LC	SHD	Duroc	1.538998221	0.526943947	22133176	20981338
SHD_29805	LC	SHD	Duroc	2.174328832	0.766183808	34356198	33277558
SHD_30037	LC	SHD	Duroc	2.71663519	0.437383679	21892962	21084192
SHD_30070	LC	SHD	Duroc	1.421981239	0.389829451	26265756	25243814
SHD_30143	LC	SHD	Duroc	1.433953358	0.389930666	22491320	21714506
SHD_30374	LC	SHD	Duroc	1.636821843	0.579842945	26783344	25652228
SHD_30500	LC	SHD	Duroc	1.28401274	0.264261271	16422036	15584696
SHD_30531	LC	SHD	Duroc	1.796640298	0.666160006	24495776	23726642
SHD_30654	LC	SHD	Duroc	2.687215588	0.426824526	21182048	20407104
SHD_30807	LC	SHD	Duroc	2.614463265	0.396970356	19018008	18380208
SHD_31059	LC	SHD	Duroc	1.627083503	0.581429489	24256194	23069574
SHD_31168	LC	SHD	Duroc	1.519923727	0.494454877	31471224	30555186
SHD_31523	LC	SHD	Duroc	1.396998806	0.357646202	22522196	21970042
SHD_31614	LC	SHD	Duroc	1.781507216	0.457357378	22133740	20781562
SHD_31648	LC	SHD	Duroc	1.63396146	0.440634242	21739486	20569884
SHD_31818	LC	SHD	Duroc	1.561804202	0.520031322	22168786	21027988
SHD_31953	LC	SHD	Duroc	1.542818876	0.464766478	28645628	27644016
SHD_32038	LC	SHD	Duroc	1.402956247	0.384985127	25174772	24368324
SHD_32291	LC	SHD	Duroc	1.840069006	0.693434309	27791922	27283228
SHD_32298	LC	SHD	Duroc	1.685200919	0.479662866	22058126	21101584
SHD_32360	LC	SHD	Duroc	1.429500724	0.432049226	24337042	23449474
SHD_32666	LC	SHD	Duroc	1.696109175	0.505595018	23563140	22335786
SHD_32844	LC	SHD	Duroc	2.593560045	0.388929959	18460074	17801388
SHD_32883	LC	SHD	Duroc	1.786371838	0.649393791	25143150	24686612
SHD_33454	LC	SHD	Duroc	1.547748627	0.522627145	29490926	28425628
SHD_33649	LC	SHD	Duroc	1.831206141	0.627197922	26093332	25420218
SHD_33968	LC	SHD	Duroc	1.602168456	0.556680611	25152940	23992660
SHD_34004	LC	SHD	Duroc	2.658047626	0.403957919	19884850	19204154
SHD_34196	LC	SHD	Duroc	1.691173091	0.61812081	23251238	22855210
SHD_34283	LC	SHD	Duroc	2.629695828	0.399010906	19295682	18683634
SHD_34354	LC	SHD	Duroc	2.659720284	0.412064222	20214706	19451514
SHD_34709	LC	SHD	Duroc	1.799232869	0.675004808	7956290	7862578
SHD_34844	LC	SHD	Duroc	2.64334707	0.406121876	19761372	19051544
SHD_35342	LC	SHD	Duroc	1.510771413	0.404129644	19948194	19089504
SHD_35433	LC	SHD	Duroc	1.617212818	0.499469117	22652454	21562058
SHD_35584	LC	SHD	Duroc	1.403271031	0.302055325	33885700	32662644
SHD_35889	LC	SHD	Duroc	2.672266599	0.421627112	20669084	19861408
SHD_36578	LC	SHD	Duroc	1.867214796	0.698730629	28361770	27788804
SHD_36660	LC	SHD	Duroc	1.871495134	0.698993221	28249674	27713432
SHD_36813	LC	SHD	Duroc	1.466706397	0.379589322	26717750	25637180
SHD_37027	LC	SHD	Duroc	1.379688654	0.399769701	25637538	25269644
SHD_37207	LC	SHD	Duroc	1.496257868	0.485290301	25362214	24523330
SHD_37264	LC	SHD	Duroc	2.669174134	0.415517596	20405374	19697072
SHD_37282	LC	SHD	Duroc	1.438426414	0.393212498	32986196	32005212
SHD_37423	LC	SHD	Duroc	2.01953132	0.726738203	30542854	29604262
SHD_38022	LC	SHD	Duroc	1.444780181	0.203309742	21945038	20613132
SHD_38183	LC	SHD	Duroc	1.854206909	0.647351319	25130428	24389818
SHD_38404	LC	SHD	Duroc	2.565737638	0.374017112	17622300	16976022
SHD_38593	LC	SHD	Duroc	1.447015105	0.42581318	28090628	27372170
SHD_39077	LC	SHD	Duroc	1.417944788	0.396323589	26978802	26266294
SHD_39114	LC	SHD	Duroc	1.275790859	0.216080463	14601722	13633988
SHD_39395	LC	SHD	Duroc	1.560488957	0.516871664	27340098	26373666
