PC1	PC2	GRP	ID
-0.0119685	0.00612331	SHD	SHD_1583
-0.00947072	0.00380352	SHD	SHD_1611
-0.00959101	0.00545247	SHD	SHD_1614
-0.00956732	0.00455529	SHD	SHD_1618
-0.00741108	0.00519553	SHD	SHD_1626
-0.011223	0.00832469	SHD	SHD_1633
-0.00589148	-0.0035865	SHD	SHD_1661
-0.0099477	0.0011499	SHD	SHD_1674
-0.0112635	0.00475033	SHD	SHD_1677
-0.00929019	-0.000214535	SHD	SHD_1681
-0.00640664	-0.000508792	SHD	SHD_1690
-0.00961841	0.00161371	SHD	SHD_1693
-0.00877245	0.00262569	SHD	SHD_1699
-0.00621201	-6.06306e-06	SHD	SHD_1706
-0.00886298	0.00316319	SHD	SHD_1731
-0.00909142	0.00182838	SHD	SHD_1736
-0.00601313	0.00410723	SHD	SHD_1753
-0.011362	0.00463305	SHD	SHD_1754
-0.0095769	0.00323892	SHD	SHD_1758
-0.00996457	0.00360432	SHD	SHD_1780
-0.00760124	0.00315549	SHD	SHD_1787
-0.00127924	-0.00426223	SHD	SHD_1788
-0.000377187	-0.00255965	SHD	SHD_1790
-0.00389557	-0.00391186	SHD	SHD_1817
-0.00670259	-0.00025265	SHD	SHD_1818
-0.00701792	3.14831e-05	SHD	SHD_1841
-0.0120284	0.0031248	SHD	SHD_1852
-0.00965269	0.00212403	SHD	SHD_1887
-0.00974393	0.00609349	SHD	SHD_1908
-0.0105033	0.00443247	SHD	SHD_1914
-0.00739208	0.000856491	SHD	SHD_1937
-0.00707816	0.00561577	SHD	SHD_1940
-0.011203	0.00585819	SHD	SHD_1971
-0.011257	0.00571895	SHD	SHD_1973
-0.010594	0.00358886	SHD	SHD_1984
-0.0101491	0.00104623	SHD	SHD_2001
-0.00579083	0.00565927	SHD	SHD_2007
-0.00702345	0.0067307	SHD	SHD_2009
-0.0101561	0.00209454	SHD	SHD_2017
-0.0066963	-0.00233968	SHD	SHD_2028
-0.00688499	0.0014266	SHD	SHD_2032
-0.011038	0.00362195	SHD	SHD_2044
-0.011788	0.00382331	SHD	SHD_2074
-0.00851807	0.00627388	SHD	SHD_2075
-0.0086907	0.00490381	SHD	SHD_2079
-0.0086339	0.0022054	SHD	SHD_2097
-0.0105519	0.00216252	SHD	SHD_2103
-0.00783119	-0.00322034	SHD	SHD_2104
-0.00984712	0.00265922	SHD	SHD_2119
-0.00986326	0.00550056	SHD	SHD_2122
-0.0106333	0.00493127	SHD	SHD_2128
-0.00601299	0.000615699	SHD	SHD_2152
-0.00880137	0.00552633	SHD	SHD_2159
-0.00940726	0.0064498	SHD	SHD_2168
-0.00985859	0.00510695	SHD	SHD_2170
-0.00767648	0.00227586	SHD	SHD_2172
-0.00792162	-5.83574e-05	SHD	SHD_2184
-0.00662861	0.00306255	SHD	SHD_2198
-0.00679626	0.00241047	SHD	SHD_2199
-0.00903646	0.00315876	SHD	SHD_2222
-0.00947081	0.00500736	SHD	SHD_2234
-0.0109813	0.00508757	SHD	SHD_2236
-0.00946811	0.00546709	SHD	SHD_2238
-0.0121085	0.00577924	SHD	SHD_2252
