Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Roseiflexus	52	632	256	173	202	242	153	212	228	263	301	162	454	354	354	95	222	189	415	247	596	185	853	642
Dehalogenimonas	30	119	94	104	137	135	81	462	28	81	201	67	142	131	104	81	104	46	91	215	116	162	85	125
Dehalococcoides	323	709	1228	1589	4049	2862	329	451	256	575	509	716	713	179	312	3380	917	699	445	906	1336	719	1604	545
Sphaerobacter	179	128	63	202	191	65	108	350	66	43	124	112	195	48	223	73	134	79	128	104	154	76	162	233
Thermomicrobium	45	101	427	86	39	192	84	51	156	72	76	239	146	60	65	195	74	74	75	156	131	249	112	154
Desulfurispirillum	79	112	74	73	73	130	96	60	120	57	132	141	108	109	85	96	38	19	130	115	81	96	90	144
Coprothermobacter	2	3	27	2	3	5	7	0	2	5	10	2	0	2	9	3	0	1	2	2	2	12	7	4
Gloeobacter	219	157	159	124	208	96	182	85	69	132	130	186	263	219	372	187	172	78	149	167	319	145	115	395
Candidatus Atelocyanobacterium	0	1	3	6	2	3	32	0	1	2	0	8	0	5	26	3	1	4	6	1	1	8	5	0
Halothece	3	10	32	49	2	1	3	6	1	30	1	5	3	5	0	3	0	25	8	13	9	5	0	11
Chondrocystis	1	4	10	3	2	4	7	0	0	1	8	15	0	3	17	3	0	2	2	13	3	15	1	1
Geminocystis	51	32	91	58	45	45	67	18	59	26	90	118	64	50	89	22	62	52	69	40	66	74	42	206
Gloeocapsa	0	5	165	13	25	125	595	10	79	2	202	257	201	15	27	5	12	14	6	13	13	195	46	337
Cyanobacterium	18	6	59	5	16	39	97	16	18	19	7	12	59	20	31	3	3	23	17	16	17	48	15	19
Microcystis	26	38	116	11	14	26	64	12	6	5	24	88	15	51	47	16	21	11	57	53	39	67	28	41
Chroococcidiopsis	26	6	63	10	11	28	23	11	4	0	5	78	6	6	12	19	10	8	37	28	23	41	10	12
Gloeomargarita	38	38	18	16	53	5	38	5	2	8	15	39	5	8	33	5	14	3	4	6	23	16	3	26
Anabaenopsis	17	17	18	16	46	29	10	10	1	6	19	49	28	49	27	60	6	3	28	143	23	34	36	75
Dolichospermum	2	1	3	0	0	1	0	0	0	2	6	2	0	4	0	0	4	0	1	1	0	2	4	0
Nodularia	2	9	6	1	7	4	13	2	0	0	5	4	11	0	4	1	5	3	5	3	11	7	2	6
Raphidiopsis	3	51	18	168	73	171	408	50	0	72	45	69	22	42	13	39	78	25	75	271	20	102	61	275
Sphaerospermopsis	5	7	17	9	8	7	70	1	14	1	6	29	4	18	24	3	8	26	5	18	4	21	9	13
Aulosira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fischerella	6	45	65	9	9	295	73	5	13	14	33	45	7	26	125	5	7	9	3	111	61	65	154	29
Anabaena	2	6	25	38	13	8	17	8	40	3	23	42	12	115	48	28	17	3	7	18	17	28	14	41
Cylindrospermum	52	7	7	24	32	34	23	8	1	0	27	15	6	28	1	8	14	10	10	37	19	15	12	17
Nostoc	52	207	505	162	325	736	1596	140	388	86	530	513	474	148	331	81	336	143	254	209	453	633	439	999
Trichormus	623	683	174	23	250	487	567	32	69	262	588	315	595	534	277	19	313	36	403	131	758	266	427	949
Calothrix	229	84	234	197	177	273	470	70	219	81	154	403	156	125	201	232	321	262	95	204	400	231	108	474
Microchaete	1	2	13	3	1	1	32	4	12	1	3	5	2	0	8	1	0	0	5	4	4	4	6	1
Rivularia	11	4	13	11	11	20	41	2	2	2	12	14	5	11	6	2	4	1	8	9	6	24	15	5
Scytonema	3	88	78	10	610	205	39	8	67	104	39	51	41	120	32	43	51	70	74	56	79	43	57	56
Tolypothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geitlerinema	49	146	50	108	52	211	96	35	173	66	123	398	191	31	54	257	46	27	72	162	55	180	106	225
Cyanothece	199	66	79	27	36	55	140	159	61	48	70	146	62	84	443	69	19	36	105	144	64	137	626	118
Crinalium	2	21	233	36	207	470	911	18	159	6	808	255	372	50	17	58	308	64	48	92	97	225	15	569
Arthrospira	12	15	104	15	12	33	314	10	20	7	23	100	16	110	9	39	20	12	11	25	25	112	39	170
Microcoleus	134	30	47	32	90	142	200	14	8	16	127	92	50	11	23	101	89	23	21	53	16	89	78	157
Planktothrix	47	53	46	13	41	11	10	3	177	8	23	71	10	8	10	4	21	10	16	32	9	31	22	32
