Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Myxococcaceae	771	941	509	1154	691	429	755	274	443	387	1326	899	980	301	795	527	455	556	599	778	1196	750	625	1087
Polyangiaceae	555	1225	526	541	566	611	572	905	300	464	870	645	852	734	801	1041	486	655	932	686	1423	632	740	1493
Sandaracinaceae	82	137	130	233	102	68	126	20	44	49	316	293	137	71	130	91	74	50	67	132	72	163	66	400
Vulgatibacteraceae	50	95	63	145	74	101	115	507	207	70	148	311	198	91	138	341	27	159	248	286	255	232	107	202
Syntrophaceae	92	319	227	120	322	150	192	670	64	182	411	148	237	208	490	248	97	97	341	422	479	382	245	280
Syntrophobacteraceae	78	103	176	76	52	67	119	544	140	71	251	229	113	106	632	133	155	24	159	170	106	173	206	112
Campylobacteraceae	8500	22141	5829	31376	21017	14011	11260	9261	7632	27529	10820	11585	12296	12034	137228	11821	8201	149722	45973	18462	21586	8244	10696	18141
Helicobacteraceae	665	3924	523	7828	5023	655	1688	494	139	1337	678	1740	588	396	77566	442	203	240	4048	392	1165	942	307	1128
Nautiliaceae	40	29	40	56	207	51	62	177	11	9	15	35	10	24	395	13	22	32	6	10	4	44	576	10
Acidiferrobacteraceae	284	304	140	278	231	262	241	155	262	188	413	361	396	178	468	291	237	194	129	391	349	430	144	865
Aeromonadaceae	1619	1767	2803	1560	1798	1919	1899	1430	1380	1554	2408	3159	2299	842	1476	2514	2183	1003	2042	1968	1666	2243	1471	2974
Alteromonadaceae	898	952	1122	684	671	1014	951	651	743	679	886	1062	787	467	1271	1240	1144	627	1225	1051	1131	874	1356	1650
Colwelliaceae	12	49	196	53	70	52	97	18	38	46	123	52	37	182	83	48	41	92	99	156	122	129	126	54
Ferrimonadaceae	47	40	47	40	47	49	63	83	16	62	96	33	52	27	100	79	46	14	43	39	86	54	54	77
