Taxonomy	GXL_5075	GXL_10938	GXL_8500	GXL_5076	GXL_12940	GXL_7910	GXL_7834	GXL_7837	GXL_13164	GXL_12278	GXL_11720	GXL_4184	GXL_1936	GXL_11714	GXL_10199	GXL_9463	GXL_4092	GXL_10143	GXL_13198	GXL_1001	GXL_5777	GXL_10941	GXL_4337	GXL_4363
Natronobacterium gregoryi	69	14	19	2	38	34	3	7	15	32	52	4	34	55	78	49	43	16	5	31	136	4	10	45
Natronococcus occultus	0	1	17	0	4	16	3	0	0	1	5	4	36	4	0	3	1	0	4	5	5	11	0	3
Natronolimnobius aegyptiacus	0	5	77	0	2	0	4	0	2	5	0	1	0	1	2	2	0	3	0	3	0	1	0	1
Natronolimnobius sp. AArc-Mg	0	1	5	0	0	0	0	3	0	0	31	0	15	0	0	0	3	5	4	1	0	0	4	0
Natronolimnobius sp. AArc1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salinarchaeum sp. Harcht-Bsk1	17	31	18	21	1	9	16	2	11	4	9	15	3	7	23	2	3	0	11	12	15	25	5	30
Methanobacterium congolense	10	0	5	5	0	0	8	2	0	3	11	11	1	1	3	1	1	7	1	11	0	7	1	12
Methanobacterium formicicum	0	1	5	4	0	0	5	1	4	0	5	7	3	0	0	0	0	0	0	1	3	1	0	1
Methanobacterium lacus	4	12	36	12	9	28	9	6	9	1	1	112	4	25	10	21	6	12	5	39	21	37	18	8
Methanobacterium paludis	0	1	2	3	0	5	5	0	0	1	1	1	1	0	0	0	1	1	2	0	14	1	0	0
Methanobacterium sp. MB1	2	4	9	13	4	11	3	0	0	3	4	10	2	2	3	2	5	1	4	13	6	12	7	3
Methanobacterium sp. MZ-A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacterium subterraneum	8	10	0	4	0	3	1	1	1	1	0	1	8	2	15	0	3	1	1	0	3	1	7	2
Methanobrevibacter millerae	5	25	65	131	19	50	32	27	5	10	31	96	4	57	608	23	32	25	260	49	59	68	86	58
Methanobrevibacter olleyae	3	14	10	167	32	14	11	15	0	2	13	31	1	21	40	3	7	10	29	64	5	28	3	15
Methanobrevibacter ruminantium	1	4	12	130	2	1	6	2	0	0	0	32	0	4	12	0	4	2	12	5	3	56	16	8
Methanobrevibacter smithii	5091	14097	1558	87577	29169	230659	105304	282804	6708	86743	37535	160024	25501	522769	268352	82087	63664	59130	206380	23735	115533	133383	113351	109970
Methanobrevibacter sp. AbM4	0	1	10	13	3	12	1	0	0	0	3	9	3	3	0	1	1	0	5	0	0	3	0	3
