ID,Parity,Herd,YearSeason,Sex,Dam,Birth_weight,Day_to_115kg,Backfat_thickness,Loin_muscle_area,Lean_percentage
SHD_3138,3,15,182,Male,SHD_1399,2.1,178.65,7.15,43.27,58.21
SHD_3139,1,12,144,Female,SHD_1063,1.22,185.51,14.72,44.37,56
SHD_3143,6,18,161,Male,SHD_1193,1.84,172.78,13.58,54.97,60.56
SHD_3154,2,15,163,Male,SHD_1851,0.85,190.1,13.96,43.91,56.08
SHD_3156,3,16,182,Male,SHD_3155,2.5,166.21,9.79,46.6,58.6
SHD_3157,1,15,162,Female,SHD_420,1.25,173.55,16.52,41.7,54.32
SHD_3158,2,14,171,Female,SHD_654,1.1,202.81,10.58,44.21,57.38
SHD_3159,1,13,174,Male,SHD_2007,0.8,209.25,12.73,39.4,54.74
SHD_3164,3,5,181,Female,SHD_3163,1.25,210.47,12.67,52.14,59.77
SHD_3165,1,15,171,Male,SHD_1417,1.9,167.47,13.04,45.33,56.96
SHD_3170,2,13,171,Female,SHD_2525,2,196.87,14.68,49.8,58.14
SHD_3175,3,8,171,Female,SHD_2320,1.85,198.2,10.8,40.96,56.03
SHD_3176,2,13,152,Female,SHD_1456,1.8,187.89,9.49,49.3,59.76
SHD_3177,2,14,143,Male,SHD_514,1.9,180.74,9.42,46.07,58.52
SHD_3180,4,12,162,Male,SHD_445,2.1,174.6,13.97,41.4,55.09
SHD_3184,4,16,174,Female,SHD_2470,1.2,187.84,15.28,47.35,56.97
SHD_1834,4,17,154,Female,SHD_291,1.54,174.83,11.31,47.94,58.59
SHD_3196,1,16,182,Male,SHD_1430,1.7,175.31,7.83,43,57.87
SHD_3204,3,11,182,Female,SHD_489,1.8,227.46,9.77,44.32,57.71
SHD_3208,3,18,143,Female,SHD_375,1.78,172.94,13.31,48.47,58.1
SHD_3209,4,12,181,Female,SHD_962,2,207.43,9.05,42.96,57.42
SHD_3215,1,18,174,Male,SHD_1754,2.25,159.71,9.71,47.48,58.97
SHD_3216,6,12,184,Male,SHD_598,1.65,172.11,11.21,48.23,58.74
SHD_3220,3,14,172,Male,SHD_1166,1.75,205.69,10.71,40.86,56.02
SHD_3226,1,15,181,Female,SHD_3225,1.35,191.34,11.64,49.18,58.96
SHD_3234,2,16,161,Male,SHD_2997,1.95,170.97,10.75,42.83,56.78
SHD_3238,4,18,164,Female,SHD_868,1.1,236.55,9.44,41.12,56.57
SHD_3239,5,18,152,Male,SHD_2136,1.7,207.42,11.72,48.88,58.82
SHD_3243,2,15,174,Male,SHD_3242,1.4,162.46,16.16,41.32,54.3
SHD_2657,5,17,174,Female,SHD_955,2.45,174.53,14.55,51.69,58.93
SHD_3245,4,14,151,Female,SHD_556,2,159.34,18.37,43.93,54.55
SHD_3256,2,16,181,Female,SHD_3255,1.3,194.86,12.38,39.27,54.81
SHD_1074,6,18,154,Female,SHD_847,1.64,179.71,14.44,45.86,56.68
SHD_3266,1,12,183,Male,SHD_1483,1.85,192.88,8.38,48.16,59.7
SHD_3267,1,18,162,Male,SHD_1735,1.05,185.1,13.2,40.34,54.95
SHD_351,2,15,151,Female,SHD_350,1.7,161.9,9.92,43.85,57.47
SHD_3020,1,18,152,Female,SHD_404,1.4,189.27,14.23,49.91,58.34
SHD_3275,2,14,142,Female,SHD_534,1.66,182.03,12.31,49.43,58.83
SHD_3286,3,12,164,Male,SHD_727,1.1,175.75,14.11,45.15,56.52
SHD_3296,6,14,181,Male,SHD_1674,1.55,182.85,13.25,40.93,55.16
SHD_3297,3,11,143,Male,SHD_451,2.02,205.03,7.85,42.98,57.85
SHD_3304,1,15,171,Female,SHD_1168,1.25,194.08,13.09,53.14,60.01
SHD_3305,2,12,161,Male,SHD_763,2.44,175.12,14.64,56.97,60.97
SHD_3311,1,15,174,Male,SHD_3310,1.55,192.2,11.18,38.92,55.09
SHD_3313,1,11,171,Female,SHD_3312,1.95,197.16,8.19,57.48,63.43
SHD_3329,1,13,172,Male,SHD_3328,0.9,200.18,12.11,43.55,56.59
SHD_3333,3,13,172,Female,SHD_3332,2.1,195.31,10.08,49.2,59.52
SHD_3335,1,17,153,Female,SHD_3334,1.4,212,15.14,54.15,59.69
SHD_3336,2,12,164,Male,SHD_750,2,161.46,13.09,40.63,55.1
SHD_3337,1,12,183,Male,SHD_2652,1.5,172.03,12.03,45.91,57.54
SHD_3344,4,18,152,Male,SHD_311,2.5,177.5,9.66,38.58,55.49
SHD_3347,1,16,184,Male,SHD_3346,1.6,193.9,10.16,44.04,57.46
SHD_3353,4,6,181,Male,SHD_1230,1.9,191.83,14.71,41.38,54.83
SHD_3357,1,16,173,Female,SHD_3356,1.55,216.74,13.19,43.6,56.23
SHD_3373,1,17,172,Male,SHD_3372,1.85,227.42,10.27,34.94,53.85
SHD_3376,4,6,151,Female,SHD_403,1.72,186.94,14.91,49.94,58.12
SHD_3379,2,18,184,Male,SHD_516,1.6,198.48,13.1,30.03,50.93
SHD_3387,1,11,161,Female,SHD_3386,1.48,191.7,15.73,58.08,61.03
SHD_3388,2,16,164,Male,SHD_404,1.12,189.07,12.92,39.83,54.84
SHD_3389,1,15,153,Female,SHD_595,1.6,184.47,10.43,36.92,54.57
SHD_3390,1,18,172,Male,SHD_3026,1.3,170.01,13.57,41.89,55.42
SHD_3391,3,12,174,Female,SHD_2831,1.75,178.44,11.25,42.69,56.55
SHD_3394,1,14,182,Female,SHD_3393,1.7,194.66,8.03,40.98,57
SHD_1580,1,13,161,Male,SHD_727,1.6,165.67,11.91,41.31,55.78
SHD_3400,6,18,173,Female,SHD_601,1.85,175.76,11.6,47.22,58.21
SHD_3401,4,15,151,Male,SHD_502,1.9,178.41,13.7,38.68,54.12
SHD_3403,1,5,181,Male,SHD_1708,2,184.36,11.16,38.83,55.06
SHD_3407,3,12,164,Male,SHD_1661,2,207.5,10.72,37.54,54.71
SHD_3409,1,15,172,Male,SHD_3408,1.5,180.97,12.4,46.66,57.71
SHD_3418,3,12,164,Male,SHD_914,1.2,178.76,11.58,45.26,57.44
SHD_3419,2,15,164,Male,SHD_595,1.16,174,19.39,39.55,52.47
SHD_3424,1,16,182,Female,SHD_3423,1.3,213.9,8.55,43.53,57.82
